Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	6.089796	3.5800035	28.0	3.0	56.0	7.0992956	69.0	49.0	6.089796	56.0	1499	1.8135866	0.64725405	3.3886378	-0.1931886	-1.9880161	0.108720176	2.521092176437378
2	5.9722223	3.4219215	30.0	3.0	66.4	15.460918	112.0	56.0	5.9722223	66.4	2999	5.772971	3.0760534	11.698399	-0.07037591	-6.86563	0.4347041	9.290534973144531
3	5.836576	3.4714715	24.0	2.0	38.3	2.238303	41.0	34.0	5.836576	38.3	4499	11.399201	5.8256974	18.538736	-0.18893464	-13.710524	0.777982	15.849030494689941
4	5.614232	2.9345329	20.0	2.0	39.4	2.8000002	43.0	35.0	5.614232	39.4	5999	16.284252	8.63394	25.043154	-0.2659282	-19.799885	1.2184486	22.5844464302063
5	5.8069496	3.1379774	18.0	3.0	34.2	4.578209	41.0	27.0	5.8069496	34.2	7499	20.961634	11.266758	31.372957	-0.47772992	-25.551828	1.6475437	29.264568328857422
6	5.924901	3.416753	21.0	3.0	24.5	0.5	25.0	24.0	5.924901	24.5	8999	25.30206	13.78818	37.506775	-0.71995264	-30.953245	2.3817966	35.83440899848938
7	7.6530614	7.1472874	35.0	3.0	24.9	3.207803	29.0	20.0	7.6530614	24.9	10499	29.975637	16.352589	43.64781	-0.6772799	-36.654484	3.5880082	42.50610589981079
8	26.263159	5.8953633	51.0	19.0	33.8	1.777639	39.0	33.0	26.263159	33.8	11999	34.344505	17.55378	48.324024	-1.0735545	-40.992146	10.20913	49.36730074882507
9	87.625	27.878923	170.0	56.0	155.3	35.586655	256.0	126.0	87.625	155.3	13499	38.45735	18.497581	55.96098	-8.44345	-45.344135	10.333461	56.76758599281311
10	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	14999	44.704372	20.23217	62.595314	-8.21517	-51.84048	10.051222	66.92104721069336
11	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	16499	50.804768	21.75346	67.75223	-5.80165	-57.931583	9.2038355	77.22891235351562
12	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	17999	56.49456	23.009695	72.97683	-4.541915	-63.67307	9.725068	87.16350817680359
13	667.3333	361.38284	1000.0	165.0	1000.0	0.0	1000.0	1000.0	667.3333	1000.0	19499	62.094593	24.228144	78.091156	-5.2828727	-69.36446	9.710372	97.23012351989746
14	52.433334	75.50748	459.0	36.0	37.8	0.4	38.0	37.0	52.433334	37.8	20999	67.403694	25.182306	83.83164	-13.697548	-74.61717	14.184075	104.23096370697021
15	36.365852	2.1725123	39.0	28.0	37.0	0.4472136	38.0	36.0	36.365852	37.0	22499	72.4563	26.39911	91.243	-13.698649	-80.020905	23.063543	111.21230220794678
16	41.74286	5.6888	57.0	36.0	819.9	360.27557	1000.0	83.0	41.74286	819.9	23999	77.49164	27.979195	97.85788	-9.838123	-85.27124	26.766283	120.73344302177429
17	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	25499	81.78621	29.612465	103.05063	-6.392684	-89.48771	25.790625	130.51569819450378
18	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	26999	85.96688	31.571146	109.71124	-7.8681927	-93.91689	23.743387	140.44724774360657
19	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	28499	91.06985	33.671757	117.620735	-8.092523	-99.16521	21.31553	150.31697273254395
20	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	29999	97.56868	35.9724	127.51041	-7.7692857	-106.015945	20.346886	160.52995324134827
