Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.439791	6.37775	45.0	4.0	10.439791	0.06462103	0.018181818	0.1258875	-0.006780535	2000	3.218651e-09	86.556496	-0.027737143	-45.283543	0.918938	0.011104773	0.21	79.0	1.9838800430297852
1	12.775641	7.729873	41.0	4.0	12.775641	5.753797	0.8475439	11.810317	4.894901	4000	1.887232e-08	53.705807	-0.017144922	-19.243233	0.89753366	0.015101522	0.172	15.0	3.6872031688690186
2	15.625	11.150953	74.0	5.0	15.625	8.653391	1.8053079	11.791987	0.30029452	6000	-6.0796737e-09	88.13637	-0.020430032	-9.710091	0.8905795	0.015677892	0.2175	15.0	5.332101106643677
3	18.302752	10.021541	57.0	6.0	18.302752	11.32629	2.6070852	14.282667	-6.4945025	8000	5.8114527e-09	59.751343	-0.020898534	-5.36911	0.8831777	0.015592778	0.186	15.0	6.962313890457153
4	28.797102	14.106817	78.0	8.0	28.797102	10.997491	3.1811628	14.913926	-10.159418	10000	-1.66893e-08	115.03732	-0.024596596	-35.179657	0.87569445	0.011531705	0.1425	79.0	8.906264781951904
5	37.584908	20.598986	101.0	8.0	37.584908	15.977599	5.2977433	22.22222	-8.672661	12000	5.6922436e-09	175.99335	-0.02616657	-40.134277	0.8463512	0.014963001	0.1725	79.0	10.81777811050415
6	55.22222	31.76748	152.0	7.0	55.22222	20.8907	6.7143974	29.875544	-8.9455595	14000	-3.8240104e-09	284.84125	-0.023987686	-85.597534	0.8271891	0.014912428	0.124	79.0	12.699784994125366
7	75.30769	35.608738	153.0	14.0	75.30769	28.631454	11.3802395	42.270485	-13.991827	16000	1.4737249e-08	239.63399	-0.021363277	-50.20656	0.8049732	0.00609304	0.101	79.0	14.61149525642395
8	95.95	36.45199	205.0	53.0	95.95	33.772095	13.1875725	50.43628	-15.7499695	18000	1.5288592e-08	220.00067	-0.0169595	-42.22766	0.7885896	0.00301129	0.085	79.0	16.506160020828247
9	110.72222	44.54811	203.0	16.0	110.72222	38.76108	16.363102	57.91523	-10.753349	20000	8.21054e-09	142.33778	-0.012135561	-44.432457	0.7775725	0.015935982	0.1395	3.0	18.04430890083313
10	108.94118	46.867107	221.0	10.0	108.94118	41.21602	18.972664	67.47865	-15.022884	22000	1.9147992e-09	220.4877	-0.008401583	-97.23411	0.77714527	0.01524469	0.178	11.0	19.616535902023315
11	173.18182	78.44955	323.0	41.0	173.18182	47.933144	17.258324	69.200294	-16.964333	24000	-8.8214875e-09	381.5324	-0.021333361	-108.706085	0.7734763	0.011971811	0.137	79.0	21.463262796401978
12	252.85715	112.853165	464.0	119.0	252.85715	56.320503	19.75544	78.03444	-9.101198	26000	4.3809415e-08	312.69894	-0.004871868	-164.38918	0.76793265	0.016616933	0.2445	5.0	22.97893977165222
13	255.14285	145.60458	570.0	93.0	255.14285	63.51779	25.71983	91.99938	-26.660912	28000	5.4463745e-09	211.04262	-0.0074685356	-61.778763	0.76747483	0.017489854	0.3105	6.0	24.517518758773804
14	423.0	264.457	869.0	210.0	423.0	81.993744	10.886258	97.40556	27.937124	30000	1.504086e-09	463.2268	-0.014910037	-53.144836	0.7666306	0.0044645597	0.0635	79.0	26.44664692878723
15	614.6667	331.3833	1000.0	191.0	614.6667	82.123116	10.793391	96.92331	4.2033606	32000	1.07474625e-08	247.99126	-0.011968566	-87.663956	0.76804	0.015499455	0.1705	3.0	27.954407453536987
16	251.6	100.42828	438.0	160.0	251.6	85.329025	23.000809	108.15607	4.796442	34000	8.594244e-09	215.1495	-0.007127429	-102.06976	0.7680434	0.020102397	0.173	6.0	29.548616886138916
17	1000.0	0.0	1000.0	1000.0	1000.0	95.35365	2.4899125	100.40009	84.97016	36000	-5.248189e-08	26.605043	-0.011524127	-23.655792	0.7672813	0.000624815	0.046	79.0	31.474446773529053
18	1000.0	0.0	1000.0	1000.0	1000.0	100.08461	1.2009903	102.46337	92.09225	38000	9.298325e-09	4.0799885	-0.0057292725	-0.77202654	0.7352949	0.017798722	0.1805	4.0	33.004194021224976
19	1000.0	0.0	1000.0	1000.0	1000.0	97.95081	3.5857363	101.776764	81.29334	40000	1.502037e-08	17.115255	-0.008590338	-14.043213	0.73389167	0.017393032	0.178	6.0	34.515318393707275
20	1000.0	0.0	1000.0	1000.0	1000.0	98.97117	1.7460927	102.78958	85.826324	42000	1.038611e-08	3.8354685	-0.005538135	-2.5756836	0.7318331	0.020077525	0.2715	6.0	36.06741261482239
21	1000.0	0.0	1000.0	1000.0	1000.0	100.11175	1.2044039	102.15479	94.30251	44000	-1.2665988e-10	1.4351422	-0.012929487	-0.5421428	0.73033035	0.0040434464	0.0485	79.0	37.92396092414856
22	1000.0	0.0	1000.0	1000.0	1000.0	100.43513	0.5943409	103.39682	97.44546	46000	1.2397766e-08	0.5017719	-0.010336665	-0.19410753	0.6995551	0.004344568	0.03	79.0	39.81934690475464
23	1000.0	0.0	1000.0	1000.0	1000.0	100.26642	0.4125039	102.245026	97.610085	48000	-7.152557e-09	0.25565115	-0.011578907	-0.09121491	0.67936933	-0.0009600631	0.051	79.0	41.71575880050659
24	1000.0	0.0	1000.0	1000.0	1000.0	100.03303	0.40238598	101.374115	97.613205	50000	5.3644182e-09	0.16315642	-0.009185892	-0.01455228	0.65072894	0.0041934997	0.0345	79.0	43.60238528251648
25	1000.0	0.0	1000.0	1000.0	1000.0	99.99784	0.371922	101.59153	97.42027	52000	2.3141503e-08	0.1423742	-0.007867461	-0.011146203	0.6267029	0.007069727	0.059	79.0	45.49685311317444
26	1000.0	0.0	1000.0	1000.0	1000.0	100.03234	0.3659929	102.15188	97.313255	54000	-9.000301e-09	0.13464311	-0.0014878422	-0.009884253	0.6252994	0.016121702	0.182	5.0	47.00913214683533
27	1000.0	0.0	1000.0	1000.0	1000.0	99.88828	0.57505816	101.2218	96.31851	56000	-7.2419644e-09	0.3481379	-0.0028363648	-0.10089992	0.62511677	0.020464802	0.2855	4.0	48.51754593849182
28	1000.0	0.0	1000.0	1000.0	1000.0	99.99662	0.3268036	102.31269	98.32211	58000	-7.688999e-09	0.10771886	-0.009861464	-0.012515679	0.6248348	0.006085005	0.076	79.0	50.344958543777466
29	1000.0	0.0	1000.0	1000.0	1000.0	100.0707	0.28608823	101.69654	98.66345	60000	-4.768372e-10	0.08881275	-0.0084460545	-0.0071762204	0.61767817	0.0003905898	0.0295	79.0	52.14607334136963
30	1000.0	0.0	1000.0	1000.0	1000.0	100.04672	0.24816608	101.34013	98.9664	62000	1.0162592e-08	0.06351605	-0.0074427514	-0.005268682	0.6005097	0.0031812924	0.0285	79.0	54.07156014442444
31	1000.0	0.0	1000.0	1000.0	1000.0	100.009674	0.27191448	101.166595	97.96507	64000	-7.122755e-09	0.07587243	-0.007974805	-0.0070666075	0.5865201	0.0036437854	0.0305	79.0	55.9328236579895
32	1000.0	0.0	1000.0	1000.0	1000.0	100.02441	0.24800996	103.014946	98.01606	66000	1.096353e-08	0.06354726	-0.009703981	-0.005227383	0.5903733	0.002614179	0.0425	79.0	57.85240960121155
33	1000.0	0.0	1000.0	1000.0	1000.0	100.02125	0.23563956	101.801544	98.4599	68000	-3.8743018e-09	0.06040047	-0.007185685	-0.0044973455	0.57932174	0.0015342986	0.0185	79.0	59.733373165130615
34	1000.0	0.0	1000.0	1000.0	1000.0	100.02533	0.20290977	101.28249	98.779175	70000	8.8214875e-09	0.0602376	-0.008659699	-0.0068935156	0.57777435	0.004951388	0.04	79.0	61.63892436027527
35	1000.0	0.0	1000.0	1000.0	1000.0	99.95781	0.19752717	100.99527	98.493164	72000	-1.6987324e-09	0.041478068	-0.0076518906	-0.0026047193	0.56844026	0.002673513	0.0255	79.0	63.53285336494446
36	1000.0	0.0	1000.0	1000.0	1000.0	99.97817	0.19896139	101.04677	98.69899	74000	3.5762787e-10	0.042854406	-0.009043323	-0.0033956282	0.5436533	0.008266254	0.0475	79.0	65.35063242912292
37	1000.0	0.0	1000.0	1000.0	1000.0	100.02837	0.16189109	100.67873	99.10637	76000	-7.901341e-09	0.027016385	-0.008217693	-0.001869427	0.5247476	0.004202296	0.0475	79.0	67.2343499660492
38	1000.0	0.0	1000.0	1000.0	1000.0	100.009125	0.15728645	100.991196	98.96475	78000	9.3579295e-09	0.025250813	-0.007589753	-0.0009747371	0.51895314	0.0010124906	0.034	79.0	69.09116458892822
39	1000.0	0.0	1000.0	1000.0	1000.0	100.02292	0.15001254	100.65403	99.24497	80000	-2.0712614e-09	0.02292737	-0.008355748	-0.0009767264	0.4956926	0.0010098638	0.0205	79.0	71.03559589385986
40	1000.0	0.0	1000.0	1000.0	1000.0	100.02122	0.13443378	100.857506	99.09295	82000	7.759547e-09	0.018528994	-0.0056727873	-0.0010326244	0.48535493	0.0019005241	0.022	79.0	72.94591546058655
41	1000.0	0.0	1000.0	1000.0	1000.0	99.98822	0.13653855	100.66602	98.748024	84000	5.2452087e-09	0.019314941	-0.0037836914	-0.0009627454	0.46999532	0.01509421	0.137	2.0	74.44440340995789
42	1000.0	0.0	1000.0	1000.0	1000.0	100.01892	0.12097399	100.70583	98.988205	86000	5.170703e-09	0.015041433	-0.0098512145	-0.000795017	0.46968967	0.0076647373	0.0575	79.0	76.33002018928528
43	1000.0	0.0	1000.0	1000.0	1000.0	100.0027	0.13032	100.960434	99.197495	88000	-8.940697e-11	0.016990451	-0.0064955405	-0.00076985173	0.46668187	0.0023811974	0.026	79.0	78.18646121025085
44	1000.0	0.0	1000.0	1000.0	1000.0	100.0065	0.11309865	100.394226	99.032974	90000	-2.4139881e-09	0.013016056	-0.006629777	-0.0008564722	0.4572739	0.00078558025	0.046	79.0	80.03292489051819
45	1000.0	0.0	1000.0	1000.0	1000.0	100.00464	0.103580184	100.82625	99.19865	92000	1.7613173e-08	0.010990403	-0.00836	-0.0004513804	0.4429168	0.003143422	0.04	79.0	81.92552614212036
46	1000.0	0.0	1000.0	1000.0	1000.0	99.98888	0.11165895	100.45708	98.71925	94000	6.9886448e-09	0.01339277	-0.007444765	-0.0004129568	0.43026653	0.0013488882	0.0355	79.0	83.789546251297
47	1000.0	0.0	1000.0	1000.0	1000.0	99.99165	0.11363151	100.60605	99.054	96000	-1.1920929e-09	0.013746854	-0.0059878053	-0.00045465026	0.42594975	0.0029024102	0.0395	79.0	85.68097257614136
48	1000.0	0.0	1000.0	1000.0	1000.0	99.9982	0.10082462	100.483635	99.129295	98000	8.746982e-09	0.010334666	-0.0053082425	-0.0005029319	0.41907734	0.0031351175	0.027	79.0	87.5222749710083
49	1000.0	0.0	1000.0	1000.0	1000.0	99.999435	0.12024643	100.60876	98.547844	100000	-9.32347e-09	0.014509023	-0.0114971865	-0.0007991567	0.4099334	0.0033270435	0.045	79.0	89.38779330253601
50	1000.0	0.0	1000.0	1000.0	1000.0	100.01243	0.10172966	100.335304	98.36063	102000	1.40070915e-08	0.011074792	-0.0058703553	-0.00091802236	0.38075304	0.0029610102	0.023	79.0	91.32255053520203
