	Starting_point	Mean_Reward	Total_reward	Ave_Total_energy	Energy	intervals	Stand_dev	Algo
0	1e-06	400.0	[38. 38. 38. 38. 38. 38. 38. 38. 38. 38.]	33.297183990478516	"[32.616173 33.47023  33.391003 32.639435 33.14903  33.476994 33.611256
 33.730618 33.52351  33.363598]"	[33.02202425 33.57234373]	0.36490800976753235	DDPG
1	1e-06	400.0	[38. 38. 38. 38. 38. 38. 38. 38. 38. 38.]	23.344127655029297	"[24.026718 22.987206 24.454126 23.72342  22.68801  21.666708 22.794426
 23.916986 23.57469  23.608982]"	[22.76164202 23.92661329]	0.7724736928939819	PPO
2	1e-06	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	0.18356022858062568	"[0.18355934 0.18356273 0.18355952 0.18356763 0.18355703 0.18355189
 0.18355366 0.1835621  0.1835729  0.1835555 ]"	[0.18355563 0.18356483]	6.096500741731914e-06	PID
3	0.015	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	34.006324768066406	"[34.567333 34.507534 34.174755 34.34702  33.79324  33.74573  34.49519
 34.45362  32.441166 33.53767 ]"	[33.53348409 34.47916545]	0.6270661354064941	DDPG
4	0.015	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	23.689525604248047	"[22.757153 23.515156 23.468718 24.512339 23.960253 25.610565 22.587473
 23.684692 24.39658  22.402351]"	[22.98375217 24.39529904]	0.9359740614891052	PPO
5	0.015	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	0.5904888684112699	"[0.59047624 0.59049259 0.59050405 0.59048396 0.59048041 0.59048988
 0.59049188 0.59049927 0.59048617 0.59048423]"	[0.59048281 0.59049493]	8.040220463103239e-06	PID
6	0.025	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	34.80936813354492	"[34.86608  34.622234 34.732506 32.97058  35.270157 35.231743 34.910824
 35.03535  35.144997 35.30924 ]"	[34.31837137 35.3003649 ]	0.6511440873146057	DDPG
7	0.025	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	24.0198974609375	"[23.687986 24.437584 23.322924 23.498137 25.046879 24.668257 23.784237
 24.753885 23.753565 23.245512]"	[23.55613536 24.48365956]	0.6150263547897339	PPO
8	0.025	396.0	[396. 396. 396. 396. 396. 396. 396. 396. 396. 396.]	1.4440714475190344	"[1.43410686 1.44135798 1.45462912 1.44214311 1.43494408 1.45490312
 1.45309169 1.43897994 1.45293814 1.43362043]"	[1.43768376 1.45045913]	0.008471144749816265	PID
9	0.29	400.0	[396. 396. 396. 396. 396. 396. 396. 396. 396. 396.]	32.353492736816406	"[32.941555 32.744183 32.257736 32.13206  31.476841 32.77734  32.26208
 32.209095 32.70231  32.03171 ]"	[32.03721792 32.66976755]	0.41943347454071045	DDPG
10	0.29	400.0	[396. 396. 396. 396. 396. 396. 396. 396. 396. 396.]	23.75845718383789	"[22.688566 24.64919  23.665785 23.79122  24.693056 22.735477 24.614576
 23.730062 23.639147 23.3775  ]"	[23.23817161 24.27874276]	0.689985990524292	PPO
11	0.29	38.0	[38. 38. 38. 38. 38. 38. 38. 38. 38. 38.]	489.0707943111406	"[489.07070251 489.07079006 489.07082991 489.07082714 489.07074796
 489.07077939 489.07083054 489.07078682 489.070819   489.07082978]"	[489.07076378 489.07082485]	4.0495118370672664e-05	PID
